"Time","Latitude","Longitude"
"04/09/2016 07:52:15",51.60068,-0.00893
"04/09/2016 07:52:20",51.60066,-0.0095
"04/09/2016 07:52:26",51.60064,-0.01022
"04/09/2016 07:52:31",51.60063,-0.01067
"04/09/2016 07:52:36",51.60063,-0.01129
"04/09/2016 07:52:41",51.60062,-0.01196
"04/09/2016 07:52:46",51.60063,-0.01263
"04/09/2016 07:52:51",51.60064,-0.01321
"04/09/2016 07:52:56",51.60068,-0.01377
"04/09/2016 07:53:01",51.60079,-0.01426
"04/09/2016 07:53:06",51.60099,-0.01473
"04/09/2016 07:53:11",51.60118,-0.01517
"04/09/2016 07:53:16",51.60126,-0.01555
"04/09/2016 07:53:21",51.60114,-0.01573
"04/09/2016 07:53:36",51.60111,-0.01578
"04/09/2016 07:53:41",51.60091,-0.0158
"04/09/2016 07:53:46",51.60075,-0.0158
"04/09/2016 07:53:51",51.60071,-0.0158
"04/09/2016 07:53:56",51.60062,-0.01585
"04/09/2016 07:54:01",51.60049,-0.01613
"04/09/2016 07:54:11",51.60049,-0.01617
"04/09/2016 07:54:16",51.60048,-0.01621
"04/09/2016 07:54:21",51.60053,-0.01663
"04/09/2016 07:54:26",51.60089,-0.01714
"04/09/2016 07:54:31",51.60128,-0.01775
"04/09/2016 07:54:36",51.60172,-0.01861
"04/09/2016 07:54:41",51.60226,-0.01957
"04/09/2016 07:54:46",51.60291,-0.02053
"04/09/2016 07:54:51",51.60345,-0.02152
"04/09/2016 07:54:56",51.60401,-0.02252
"04/09/2016 07:55:01",51.60454,-0.02348
"04/09/2016 07:55:06",51.60509,-0.02445
"04/09/2016 07:55:11",51.60563,-0.02546
"04/09/2016 07:55:16",51.60616,-0.02653
"04/09/2016 07:55:21",51.60667,-0.02762
"04/09/2016 07:55:26",51.60716,-0.02866
"04/09/2016 07:55:31",51.60775,-0.02948
"04/09/2016 07:55:36",51.60839,-0.03013
"04/09/2016 07:55:41",51.60912,-0.03048
"04/09/2016 07:55:46",51.60994,-0.03072
"04/09/2016 07:55:51",51.61074,-0.03108
"04/09/2016 07:55:56",51.61138,-0.03165
"04/09/2016 07:56:01",51.61197,-0.03252
"04/09/2016 07:56:06",51.6125,-0.0337
"04/09/2016 07:56:11",51.61287,-0.03499
"04/09/2016 07:56:16",51.61306,-0.03638
"04/09/2016 07:56:21",51.6131,-0.03786
"04/09/2016 07:56:26",51.61296,-0.03931
"04/09/2016 07:56:31",51.61266,-0.0407
"04/09/2016 07:56:36",51.61225,-0.04197
"04/09/2016 07:56:41",51.61185,-0.04315
"04/09/2016 07:56:46",51.61144,-0.04433
"04/09/2016 07:56:51",51.61133,-0.04564
"04/09/2016 07:56:56",51.61128,-0.04689
"04/09/2016 07:57:01",51.6115,-0.04811
"04/09/2016 07:57:06",51.61187,-0.04921
"04/09/2016 07:57:11",51.61235,-0.05035
"04/09/2016 07:57:16",51.61279,-0.05151
"04/09/2016 07:57:21",51.61313,-0.05279
"04/09/2016 07:57:26",51.6133,-0.05415
"04/09/2016 07:57:31",51.61345,-0.0555
"04/09/2016 07:57:36",51.61362,-0.05678
"04/09/2016 07:57:41",51.6138,-0.05802
"04/09/2016 07:57:46",51.61396,-0.05925
"04/09/2016 07:57:51",51.61414,-0.06052
"04/09/2016 07:57:56",51.61433,-0.0619
"04/09/2016 07:58:01",51.6145,-0.06335
"04/09/2016 07:58:06",51.61465,-0.0649
"04/09/2016 07:58:10",51.61475,-0.06613
"04/09/2016 07:58:10",51.61475,-0.06613
"04/09/2016 07:58:21",51.6148,-0.06926
"04/09/2016 07:58:26",51.61476,-0.07042
"04/09/2016 07:58:31",51.61471,-0.07156
"04/09/2016 07:58:36",51.61456,-0.0728
"04/09/2016 07:58:41",51.61434,-0.0741
"04/09/2016 07:58:46",51.61417,-0.07546
"04/09/2016 07:58:51",51.61418,-0.07679
"04/09/2016 07:58:56",51.61437,-0.07808
"04/09/2016 07:59:01",51.61466,-0.07924
"04/09/2016 07:59:06",51.615,-0.08033
"04/09/2016 07:59:11",51.61529,-0.08145
"04/09/2016 07:59:16",51.61559,-0.08266
"04/09/2016 07:59:21",51.61587,-0.08388
"04/09/2016 07:59:26",51.61603,-0.08475
"04/09/2016 07:59:31",51.61607,-0.08542
"04/09/2016 07:59:36",51.61608,-0.08586
"04/09/2016 07:59:40",51.61607,-0.08553
"04/09/2016 07:59:46",51.61607,-0.08564
"04/09/2016 07:59:51",51.61608,-0.08597
"04/09/2016 07:59:56",51.61602,-0.08646
"04/09/2016 08:00:01",51.61566,-0.08668
"04/09/2016 08:00:06",51.61509,-0.0867
"04/09/2016 08:00:11",51.6144,-0.08673
"04/09/2016 08:00:16",51.61375,-0.08674
"04/09/2016 08:00:21",51.61328,-0.08668
"04/09/2016 08:00:26",51.61312,-0.08663
"04/09/2016 08:00:31",51.61294,-0.08659
"04/09/2016 08:00:37",51.61241,-0.08645
"04/09/2016 08:00:42",51.61183,-0.08625
"04/09/2016 08:00:47",51.61119,-0.08603
"04/09/2016 08:00:52",51.6105,-0.08579
"04/09/2016 08:00:57",51.60984,-0.08559
"04/09/2016 08:01:02",51.60922,-0.08552
"04/09/2016 08:01:07",51.60862,-0.08551
"04/09/2016 08:01:12",51.60796,-0.08555
"04/09/2016 08:01:17",51.60726,-0.0856
"04/09/2016 08:01:22",51.60663,-0.08562
"04/09/2016 08:01:27",51.60601,-0.08564
"04/09/2016 08:01:32",51.60537,-0.08578
"04/09/2016 08:01:37",51.60478,-0.08613
"04/09/2016 08:01:42",51.60433,-0.08653
"04/09/2016 08:01:47",51.60385,-0.08682
"04/09/2016 08:01:52",51.60345,-0.08683
"04/09/2016 08:01:57",51.60325,-0.08684
"04/09/2016 08:02:17",51.60326,-0.08684
"04/09/2016 08:02:22",51.60309,-0.08684
"04/09/2016 08:02:27",51.60287,-0.08697
"04/09/2016 08:02:32",51.60276,-0.08746
"04/09/2016 08:02:37",51.6027,-0.08816
"04/09/2016 08:02:42",51.60253,-0.08898
"04/09/2016 08:02:47",51.60227,-0.08977
"04/09/2016 08:02:52",51.60196,-0.09036
"04/09/2016 08:02:57",51.60161,-0.09088
"04/09/2016 08:03:02",51.60116,-0.0913
"04/09/2016 08:03:07",51.60068,-0.09163
"04/09/2016 08:03:12",51.6001,-0.09178
"04/09/2016 08:03:17",51.59945,-0.09187
"04/09/2016 08:03:22",51.59885,-0.09193
"04/09/2016 08:03:27",51.59846,-0.09195
"04/09/2016 08:03:32",51.59831,-0.09196
"04/09/2016 08:03:57",51.59832,-0.09196
"04/09/2016 08:04:02",51.59804,-0.09219
"04/09/2016 08:04:07",51.59807,-0.0927
"04/09/2016 08:04:12",51.59796,-0.09318
"04/09/2016 08:04:17",51.59763,-0.09342
"04/09/2016 08:04:22",51.59722,-0.09371
"04/09/2016 08:04:27",51.59677,-0.09401
"04/09/2016 08:04:32",51.59631,-0.09432
"04/09/2016 08:04:37",51.59587,-0.09463
"04/09/2016 08:04:42",51.59543,-0.09496
"04/09/2016 08:04:47",51.59512,-0.09527
"04/09/2016 08:04:52",51.59481,-0.09583
"04/09/2016 08:04:57",51.59442,-0.09649
"04/09/2016 08:05:02",51.59404,-0.09717
"04/09/2016 08:05:07",51.59366,-0.09782
"04/09/2016 08:05:12",51.59329,-0.09847
"04/09/2016 08:05:17",51.59296,-0.09904
"04/09/2016 08:05:22",51.59265,-0.09957
"04/09/2016 08:05:27",51.59233,-0.10013
"04/09/2016 08:05:32",51.59199,-0.10072
"04/09/2016 08:05:37",51.59166,-0.10131
"04/09/2016 08:05:42",51.59135,-0.10184
"04/09/2016 08:05:47",51.59109,-0.10229
"04/09/2016 08:05:52",51.5909,-0.10263
"04/09/2016 08:05:57",51.59069,-0.10295
"04/09/2016 08:06:02",51.59059,-0.10303
"04/09/2016 08:06:47",51.59059,-0.10303
"04/09/2016 08:06:52",51.59041,-0.10319
"04/09/2016 08:06:57",51.59023,-0.10367
"04/09/2016 08:07:02",51.59009,-0.10415
"04/09/2016 08:07:07",51.58996,-0.10474
"04/09/2016 08:07:12",51.58984,-0.10532
"04/09/2016 08:07:17",51.58973,-0.10586
"04/09/2016 08:07:23",51.5896,-0.10659
"04/09/2016 08:07:28",51.5895,-0.10719
"04/09/2016 08:07:33",51.58941,-0.10777
"04/09/2016 08:07:38",51.58931,-0.10838
"04/09/2016 08:07:43",51.58917,-0.10901
"04/09/2016 08:07:48",51.58905,-0.10954
"04/09/2016 08:07:53",51.58899,-0.1098
"04/09/2016 08:08:28",51.58898,-0.10984
"04/09/2016 08:08:33",51.58896,-0.10992
"04/09/2016 08:08:38",51.58888,-0.11028
"04/09/2016 08:08:43",51.58876,-0.11109
"04/09/2016 08:08:48",51.58848,-0.11189
"04/09/2016 08:08:52",51.58829,-0.11243
"04/09/2016 08:08:58",51.58814,-0.11289
"04/09/2016 08:09:03",51.58786,-0.11301
"04/09/2016 08:09:08",51.58757,-0.1128
"04/09/2016 08:09:13",51.58718,-0.11252
"04/09/2016 08:09:18",51.58683,-0.11228
"04/09/2016 08:09:23",51.58644,-0.11226
"04/09/2016 08:09:28",51.58604,-0.11237
"04/09/2016 08:09:33",51.58574,-0.1127
"04/09/2016 08:09:38",51.58557,-0.11326
"04/09/2016 08:09:43",51.58549,-0.11389
"04/09/2016 08:09:48",51.58542,-0.11443
"04/09/2016 08:09:53",51.5852,-0.11497
"04/09/2016 08:09:58",51.58496,-0.11533
"04/09/2016 08:10:03",51.58475,-0.11559
"04/09/2016 08:10:08",51.58443,-0.11585
"04/09/2016 08:10:13",51.58406,-0.11619
"04/09/2016 08:10:18",51.58371,-0.11657
"04/09/2016 08:10:23",51.58341,-0.11694
"04/09/2016 08:10:28",51.58319,-0.11723
"04/09/2016 08:10:33",51.58299,-0.11765
"04/09/2016 08:10:38",51.58277,-0.11817
"04/09/2016 08:10:43",51.58256,-0.11873
"04/09/2016 08:10:48",51.58235,-0.1191
"04/09/2016 08:10:53",51.58222,-0.11961
"04/09/2016 08:10:58",51.582,-0.12019
"04/09/2016 08:11:03",51.58183,-0.12063
"04/09/2016 08:11:08",51.58161,-0.12118
"04/09/2016 08:11:13",51.58146,-0.12146
"04/09/2016 08:11:18",51.58144,-0.12149
"04/09/2016 08:11:23",51.58137,-0.12163
"04/09/2016 08:11:28",51.58105,-0.12201
"04/09/2016 08:11:33",51.58076,-0.12239
"04/09/2016 08:11:38",51.58046,-0.12277
"04/09/2016 08:11:43",51.58012,-0.12317
"04/09/2016 08:11:48",51.57975,-0.12355
"04/09/2016 08:11:53",51.57934,-0.12377
"04/09/2016 08:11:58",51.57888,-0.12385
"04/09/2016 08:12:03",51.57856,-0.1239
"04/09/2016 08:12:08",51.57842,-0.12384
"04/09/2016 08:12:22",51.57844,-0.12385
"04/09/2016 08:12:28",51.57828,-0.12378
"04/09/2016 08:12:33",51.57795,-0.12358
"04/09/2016 08:12:39",51.57749,-0.12329
"04/09/2016 08:12:44",51.57711,-0.12306
"04/09/2016 08:12:49",51.57681,-0.12284
"04/09/2016 08:12:54",51.57648,-0.12259
"04/09/2016 08:12:59",51.57619,-0.12242
"04/09/2016 08:13:04",51.57583,-0.12221
"04/09/2016 08:13:09",51.57547,-0.12198
"04/09/2016 08:13:14",51.57519,-0.12181
"04/09/2016 08:13:19",51.57491,-0.12164
"04/09/2016 08:13:24",51.57462,-0.12148
"04/09/2016 08:13:29",51.57438,-0.12136
"04/09/2016 08:13:34",51.57424,-0.12128
"04/09/2016 08:13:39",51.57421,-0.12127
"04/09/2016 08:13:44",51.57427,-0.1212
"04/09/2016 08:13:49",51.57431,-0.12109
"04/09/2016 08:13:54",51.57438,-0.12089
"04/09/2016 08:13:59",51.57451,-0.12056
"04/09/2016 08:14:04",51.57459,-0.12033
"04/09/2016 08:14:09",51.57472,-0.12
"04/09/2016 08:14:14",51.5748,-0.11978
"04/09/2016 08:14:19",51.57493,-0.11984
"04/09/2016 08:14:24",51.57509,-0.11994
"04/09/2016 08:14:29",51.57524,-0.12003
"04/09/2016 08:14:34",51.57536,-0.12011
"04/09/2016 08:14:39",51.57537,-0.12027
